CASH,,,,
NAME OF INSTITUTION,,CURRENCY,VALUE (AUD),WEIGHTING (%)
HUBEI BIOCAUSE PHARMACEUTICAL CO LTD,CNE000000F48        ,42039,43441,0.00%
HUBSPOT INC,US4435731009        ,8569,9642773,0.02%
HUDBAY MINERALS INC,CA4436281022        ,13292,174053,0.00%
HUMANA INC,US4448591028        ,15877,6506001,0.01%
HUNTINGTON INGALLS INDUSTRIES INC,US4464131063        ,3724,1136458,0.00%
HUSQVARNA AB - B SHARES,SE0001662230        ,8816,74405,0.00%
HUT 8 CORP,US44812J1043        ,27454,907995,0.00%
HUTCHMED CHINA LTD,US44842L1035        ,306468,7132696,0.01%
HYATT HOTELS CORP-CL A,US4485791028        ,503,127508,0.00%
HYUNDAI CONSTRUCTION EQUIPMENT,KR7267270007        ,7655,489639,0.00%
HYUNDAI DEPT STORE CO,KR7069960003        ,672,34821,0.00%
HYUNDAI ELECTRIC ENERGY SYST,KR7267260008        ,24462,10252178,0.02%
HYUNDAI MARINE FIRE INC CO,KR7001450006        ,15562,421703,0.00%
HYUNDAI MIPO DOCKYARD,KR7010620003        ,15466,2277046,0.00%
HYUNDAI MOBIS,KR7012330007        ,84,21763,0.00%
HYUNDAI MOTOR CO LTD,KR7005380001        ,558,129744,0.00%
HYUNDAI MOTOR INDIA LTD,INE0V6F01027        ,26922,917308,0.00%
IAMGOLD CORP,CA4509131088        ,16622,138692,0.00%
IBSTOCK PLC,GB00BYXJC278        ,16536,58869,0.00%
ICICI BANK INR2,INE090A01021        ,2548002,61606964,0.12%
ICICI LOMBARD GENERAL INSURANCE COMPANY LTD,INE765G01017        ,30384,1024750,0.00%
ICICI PRUDENTIAL LIFE INSURANCE COMPANY LTD,INE726G01019        ,93454,1154517,0.00%
ICL GROUP LTD,IL0002810146        ,8818,70356,0.00%
ICON PLC,IE0005711209        ,5324,1803170,0.00%
IDEAYA BIOSCIENCES INC,US45166A1025        ,93121,3865309,0.01%
IDEX CORP,US45167R1041        ,4306,1455411,0.00%
IDEXX LABORATORIES INC,US45168D1046        ,3534,2359890,0.00%
IDREAMSKY TECHNOLOGY HOLDING,KYG470811079        ,546508,306802,0.00%
IES HOLDINGS INC COM,US44951W1062        ,212,68895,0.00%
IG GROUP HOLDINGS PLC,GB00B06QFB75        ,45750,916627,0.00%
IGM FINANCIAL INC,CA4495861060        ,754,38893,0.00%
IGO LIMITED ORDINARY FULLY PAID,AU000000IGO4        ,10761086,51330380,0.10%
IHI CORP,JP3134800006        ,8329,797014,0.00%
IIDA GROUP HOLDING NPV,JP3131090007        ,6598,161408,0.00%
IINO KAIUN KAISHA LTD,JP3131200002        ,29794,359471,0.00%
IJM CORPORATION BHD,MYL3336OO004        ,86427,94902,0.00%
ILLINOIS TOOL WORKS,US4523081093        ,11218,4594052,0.01%
ILLUMINA INC,US4523271090        ,16965,3661528,0.01%
ILUKA RESOURCES LIMITED,AU000000ILU1        ,4208987,21255383,0.04%
IMCD NV,NL0010801007        ,686,164600,0.00%
IMDEX LIMITED,AU000000IMD5        ,1862736,4321548,0.01%
IMMUNNOMEDICS INC,US45257U1088        ,61945,1062521,0.00%
IMPERIAL OIL LTD,CA4530384086        ,8599,855524,0.00%
INABATA & CO LTD,JP3146000009        ,1642,56192,0.00%
INCHCAPE PLC NEW,GB00B61TVQ02        ,12596,196063,0.00%
INCITEC PIVOT LTD,AU000000IPL1        ,4124786,12085624,0.02%
INCYTE CORP,US45337C1027        ,11247,1254676,0.00%
INDIAN HOTELS COMPANY LTD,INE053A01029        ,196921,3260052,0.01%
INDITEX,ES0148396007        ,108078,8972668,0.02%
INDRA SISTEMAS SA,ES0118594417        ,14208,405863,0.00%
INDUSIND BANK LTD,INE095A01012        ,408972,7407876,0.01%
INDUSTRIAL ALLIANCE INSURANCE AND FINANCIAL SERVICES INC,CA45075E1043        ,1132,169415,0.00%
INDUSTRIAL AND COMMERCIAL BANK OF CHINA,CNE1000003G1        ,7178986,7776757,0.01%
INDUSTRIVARDEN AB,SE0000190126        ,1406,71790,0.00%
INDUSTRIVARDEN AB SER C NPV,SE0000107203        ,1793,91521,0.00%
INDUTRADE AB,SE0001515552        ,3114,126072,0.00%
INFINEON TECHNOLOGIES AG,DE0006231004        ,590124,30990409,0.06%
INFO EDGE INDIA,INE663F01024        ,21724,3556178,0.01%
INFOMEDIA LIMITED,AU000000IFM0        ,1289141,1985278,0.00%
INFORMA PLC,GB00BMJ6DW54        ,18212,294114,0.00%
INFOSYS LTD,INE009A01021        ,784183,27812236,0.05%
INFRATIL LIMITED,NZIFTE0003S3        ,13663,155781,0.00%
ING GROEP NV,NL0011821202        ,53611,1356594,0.00%
INGERSOLL RAND INC,US45687V1061        ,16471,2406540,0.00%
INGHAMS GROUP LIMITED,AU000000ING6        ,45796,145632,0.00%
INKEVERSE GROUP LTD,KYG4809C1015        ,501236,238657,0.00%
INNOVENT BIOLOGICS INC,KYG4818G1010        ,1687012,12837990,0.02%
INNUOVO TECHNOLOGY CO LTD A,CNE000000SL5        ,107654,231776,0.00%
INPEX CORPORATION,JP3294460005        ,152180,3081743,0.01%
INPOST SA,LU2290522684        ,2637,72817,0.00%
INSIGNIA FINANCIAL LTD,AU000000IFL2        ,114300,405764,0.00%
INSMED INC,US4576693075        ,14891,1660427,0.00%
INSPIRE MEDICAL SYSTEMS INC,US4577301090        ,11523,3450009,0.01%
INSULET CORP,US45784P1012        ,3828,1613997,0.00%
INSURANCE AUSTRALIA GROUP LIMITED,AU000000IAG3        ,23408846,198038836,0.37%
INTACT FINANCIAL CORPORATION,CA45823T1066        ,2137,628227,0.00%
INTAPP INC,US45827U1097        ,13254,1371991,0.00%
INTEGRAFIN HOLDINGS PLC,GB00BD45SH49        ,10311,72062,0.00%
INTEGRAL DIAGNOSTICS LTD,AU000000IDX2        ,791526,2303341,0.00%
INTEL CORP,US4581401001        ,447642,14496038,0.03%
INTERACTIVE BROKERS GRO-CL,US45841N1072        ,17186,4903945,0.01%
INTERCONTINENTAL EXCHANGE INC,US45866F1049        ,92944,22368640,0.04%
INTERCONTINENTAL HOTELS GROUP PLC,GB00BHJYC057        ,2257,454367,0.00%
INTERDIGITAL INC,US45867G1013        ,1301,407070,0.00%
INTERFACE INC,US4586653044        ,6898,271277,0.00%
INTERGLOBE AVIATION LTD,INE646L01027        ,220658,18958205,0.04%
INTERNATIONAL BANCSHARES CORP,US4590441030        ,1263,128822,0.00%
INTERNATIONAL BUSINESS MACHINES CORP CAP STK,US4592001014        ,30772,10925763,0.02%
INTERNATIONAL PERSONAL FINANCE PLC,GB00B1YKG049        ,11881,31241,0.00%
INTERNETWORKING BROADBAND CO,JP3104940006        ,2173,16032,0.00%
INTERPUBLIC GROUP COS INC USD,US4606901001        ,27993,1266841,0.00%
INTERTEK GROUP INC,GB0031638363        ,1942,185713,0.00%
INTESA SANPAOLO S P A SPONSORED ADR,US46115H1077        ,24137,941470,0.00%
INTESA SANPAOLO SPA,IT0000072618        ,232250,1500497,0.00%
INTERNATIONAL FLAVORS & FRAGRANCES INC,US4595061015        ,12984,1773004,0.00%
INTL PAPER CO,US4601461035        ,19024,1653711,0.00%
INTUIT INC,US4612021034        ,28924,29360612,0.06%
INTUITIVE SURGICAL INC,US46120E6023        ,29159,24582202,0.05%
INVESCO LIMITED,BMG491BT1088        ,42013,1186116,0.00%
INVESTEC PLC,GB00B17BBQ50        ,20146,221680,0.00%
INVESTMENT AB LATOUR,SE0010100958        ,1687,68046,0.00%
INVESTOR AB SER B NPV,SE0015811963        ,28161,1204895,0.00%
IONQ INC,US46222L1089        ,1868,126040,0.00%
IP GROUP PLC,GB00B128J450        ,37987,41416,0.00%
IPH LIMITED ORDINARY FULLY PAID,AU000000IPH9        ,42612,214337,0.00%
IPSEN PROMESSES SA,FR0010259150        ,430,79608,0.00%
IQVIA HOLDINGS INC,US46266C1053        ,11409,3621089,0.01%
IRESS LIMITED,AU000000IRE2        ,424253,3949793,0.01%
IRHYTHM TECHNOLOGIES ORD SHS,US4500561067        ,19572,2850431,0.01%
ISETAN MITSUKOSHI HOLDINGS LTD,JP3894900004        ,8479,239834,0.00%
ISRACARD LTD,IL0011574030        ,14084,101071,0.00%
ISRAEL DISCOUNT BANK,IL0006912120        ,14097,155714,0.00%
ISUZU MOTORS,JP3137200006        ,6789,150604,0.00%
ITAU UNIBANCO HOLDING SA,BRITUBACNPR1        ,97013,779401,0.00%
ITOCHU CORP JPY,JP3143600009        ,14333,1153636,0.00%
ITRON INC,US4657411066        ,1082,189786,0.00%
ITV PLC - ORD SHS,GB0033986497        ,129848,193313,0.00%
IVANHOE MINES LTD COM NPV CL A,CA46579R1047        ,10750,205949,0.00%
IVE GROUP LIMITED ORDINARY FULLY PAID,AU000000IGL0        ,20446,42938,0.00%
IVECO GROUP NV,NL0015000LU4        ,4290,67009,0.00%
J B CHEMICALS AND PHARMACEUTICAL ORD SHS,INE572A01036        ,16437,571861,0.00%
J FRONT RETAILING CO LTD,JP3386380004        ,10598,231720,0.00%
JABIL INC,US4663131039        ,58889,13686692,0.03%
JACK HENRY & ASSOCIATES INC,US4262811015        ,4861,1376279,0.00%
JACK TECHNOLOGY ORD SHS A,CNE100002Z81        ,297496,2005102,0.00%
JACKSON FINANCIAL COM USD0.01 CL A WI,US46817M1071        ,16175,2274913,0.00%
JACOBS SOLUTIONS COM USD1.00,US46982L1089        ,7322,1580087,0.00%
JAFCO GROUP CO LTD NPV TEMP,JP3389900006        ,71799,1596015,0.00%
JAMES HARDIE INDUSTRIES PLC,AU000000JHX1        ,3802050,190368644,0.36%
JANUS HENDERSON GR ORD,JE00BYPZJM29        ,11085,761426,0.00%
JANUX THERAPEUTICS INC,US47103J1051        ,38458,3325636,0.01%
JAPAN AIRLINES CO LTD,JP3705200008        ,1320,33815,0.00%
JAPAN AVIATION ELECTRONICS,JP3705600009        ,5702,174570,0.00%
JAPAN EXCHANGE GROUP INC,JP3183200009        ,14066,255867,0.00%
JAPAN PETROLEUM EXPLORATION,JP3421100003        ,4657,54323,0.00%
JAPAN POST BANK CO LTD,JP3946750001        ,20596,316338,0.00%
JAPAN POST HOLDINGS CO LTD,JP3752900005        ,27732,424788,0.00%
JAPAN POST INSURANCE CO LTD,JP3233250004        ,2200,65732,0.00%
JB FINANCIAL GROUP CO LTD,KR7175330000        ,37219,664770,0.00%
JB HI-FI LIMITED,AU000000JBH7        ,434081,40230643,0.08%
JB HUNT TRANSPORT SERVICES INC,US4456581077        ,5185,1429165,0.00%
JD SPORTS FASHION ORD,GB00BM8Q5M07        ,29533,57289,0.00%
JD.COM INC,KYG8208B1014        ,219890,6217884,0.01%
JDE PEETS BV,NL0014332678        ,1389,38390,0.00%
JEFFERIES FINL GRP COM USD0.0001,US47233W1099        ,49751,6299678,0.01%
JERONIMO MARTINS SGPS SA,PTJMT0AE0001        ,3227,99568,0.00%
JET2 PLC,GB00B1722W11        ,4509,144385,0.00%
JFE HOLDINGS INC,JP3386030005        ,9870,180492,0.00%
JIANGLING MOTORS CORP LTD,CNE000000CV8        ,75889,393774,0.00%
JIANGSU CHANGSHU RURAL COMMERCIAL BANK CO LTD,CNE100002RJ6        ,92617,155137,0.00%
JIANGSU LINYANG ENERGY CO LTD,CNE1000015X0        ,83263,130256,0.00%
JIANGSU SOPO CHEMICAL CO A,CNE000000M64        ,248597,385602,0.00%
JIANGSU SUZHOU RURAL COMMERCIAL BANK ORD SHS A,CNE100003035        ,2604586,3048739,0.01%
JIANGSU ZHANGJIAGANG RURAL COMMERCIAL BANK CO LTD,CNE100002K54        ,412863,399221,0.00%
JINGJIN EQUIPMENT INC,CNE100003M36        ,10358,40981,0.00%
JOHNS LYNG GROUP LIMITED ORDINARY FULLY PAID,AU000000JLG8        ,13487,50443,0.00%
JOHNSON & JOHNSON COM,US4781601046        ,299876,70044624,0.13%
JOHNSON CONTROLS INTERNATIONAL PLC,IE00BY7QL619        ,25061,3194833,0.01%
JOHNSON MATTHEY PLC,GB00BZ4BQC70        ,6164,167083,0.00%
JOYY INC,US46591M1099        ,942,63706,0.00%
JP MORGAN CHASE & CO,US46625H1005        ,876111,339194815,0.64%
JPR GROUP PLC,GB00BCRX1J15        ,36831,120990,0.00%
JTC PLC,JE00BF4X3P53        ,5737,114199,0.00%
JTEKT CORPORATION,JP3292200007        ,91950,1114587,0.00%
JUDO CAPITAL HOLDINGS LTD,AU0000182271        ,3412189,6210184,0.01%
JULIUS BAER GROUP LTD,CH0102484968        ,2479,259134,0.00%
JUMBO INTERACTIVE LIMITED,AU000000JIN0        ,13957,194283,0.00%
JUNIPER NETWORK INC,US48203R1041        ,45309,2740563,0.01%
JUPITER FUND MANAGEMENT PLC,GB00B53P2009        ,15767,27651,0.00%
JUROKU FINANCIAL G NPV,JP3392650002        ,16450,723537,0.00%
JVCKENWOOD CORP,JP3386410009        ,46095,827335,0.00%
JYOTI CNC AUTOMATION LTD,INE980O01024        ,22347,569377,0.00%
JYSKE BANK - REG,DK0010307958        ,7733,884468,0.00%
K & S AG SHS,DE000KSAG888        ,9827,171908,0.00%
K S HOLDINGS CORP,JP3277150003        ,2776,40175,0.00%
KADOKAWA CORPORATION,JP3214350005        ,38631,1248194,0.00%
KAINOS GROUP PLC,GB00BZ0D6727        ,3504,57348,0.00%
KAJEMA CORP,JP3210200006        ,4840,143316,0.00%
KAKAKU.COM INC,JP3206000006        ,146730,3649183,0.01%
KAKAO CORP,KR7035720002        ,73575,3083513,0.01%
KALTURA INC,US4834671061        ,15879,56423,0.00%
KAMUX OYJ,FI4000206750        ,28993,128014,0.00%
KANAMOTO CO LTD,JP3215200001        ,19674,679345,0.00%
KANEKA CORPORATION,JP3215800008        ,1224,47222,0.00%
KANEMATSU CORP,JP3217100001        ,2478,67049,0.00%
KAO CORPORATION,JP3205800000        ,5595,367296,0.00%
KARDEX HOLDING AG,CH0100837282        ,731,352608,0.00%
KAROON ENERGY LTD ORDINARY FULLY PAID,AU000000KAR6        ,161271,224167,0.00%
KASIKORNBANK PCL NVDR,TH0016010R14        ,1508719,11113534,0.02%
KASIKORNBANK-FOREIGN,TH0016010017        ,7327,54142,0.00%
KAWASAKI HEAVY INDUSTRIES LTD,JP3224200000        ,3762,281428,0.00%
KAWASAKI KISEN KAI NPV,JP3223800008        ,4463,103412,0.00%
KB FINANCIAL GROUP INC,KR7105560007        ,45620,4149172,0.01%
KB HOME,US48666K1097        ,21247,2255288,0.00%
KBC GROUP NV,BE0003565737        ,31643,3944736,0.01%
KBR INC,US48242W1062        ,3496,327090,0.00%
KCC CORPORATION KRW5000,KR7002380004        ,108,27923,0.00%
KEI INDUSTRIES LTD,INE878B01027        ,12665,1060011,0.00%
KELLANOVA,US4878361082        ,13949,1824251,0.00%
KELLER GROUP PLC,GB0004866223        ,2734,80202,0.00%
KENNAMETAL INC,US4891701009        ,1832,71090,0.00%
KENVUE INC,US49177J1025        ,1263346,43563648,0.08%
KEPPEL LTD,SG1U68934629        ,16596,134396,0.00%
KERING,FR0000121485        ,896,356945,0.00%
KERRY GROUP PLC-A,IE0004906560        ,1843,280113,0.00%
KESKO OYJ-B SHS,FI0009000202        ,3112,94632,0.00%
KEURIG DR PEPPER INC,US49271V1008        ,47787,2479072,0.00%
KEYENCE CORP NPV,JP3236200006        ,59599,39585415,0.07%
KEYSIGHT TECHNOLOGCOM USD,US49338L1035        ,93476,24251190,0.05%
KIA CORPORATION,KR7000270009        ,77100,8517950,0.02%
KIER GROUP PLC,GB0004915632        ,19510,58565,0.00%
KIKKOMAN CORPORATION JPY,JP3240400006        ,7732,140054,0.00%
KIMBERLY CLARK CORP,US4943681035        ,13545,2866833,0.01%
KINAXIS INC,CA49448Q1090        ,2128,413706,0.00%
KINDER CORP JPY50,JP3263000006        ,2956,92215,0.00%
KING SLIDE WORKS CO LTD,TW0002059003        ,67768,5174765,0.01%
KINGBOARD HOLDINGS LIMITED,KYG525621408        ,44970,174661,0.00%
KINGFISHER PLC GBP0.1571,GB0033195214        ,21337,107340,0.00%
KINGSPAN GROUP PLC,IE0004927939        ,2369,279091,0.00%
KINPO ELECTRONICS ORD SHS,TW0002312006        ,843078,1092344,0.00%
KINROSS GOLD CORP,CA4969024047        ,21266,318691,0.00%
KINTETSU GROUP HOLDINGS CO LTD,JP3260800002        ,4448,151314,0.00%
KIRBY CORP,US4972661064        ,366,62595,0.00%
KIRIN HOLDINGS CO LTD,JP3258000003        ,9367,197238,0.00%
KIWOOM SECURITIES CO LTD,KR7039490008        ,303,38668,0.00%
KKR AND CO INC,US48251W1045        ,56764,13560476,0.03%
KLA TENCOR CORPORATION COM,US4824801009        ,13961,14208213,0.03%
KLAVIYO INC,US49845K1016        ,406615,27083614,0.05%
KNEATCOM INC,CA4988241010        ,12071,79438,0.00%
KNIGHT SWIFT TRANS CL A COM STK,US4990491049        ,1823,156173,0.00%
KNORR BREMSE AG,DE000KBX1006        ,827,97262,0.00%
KOBE BUSSAN CO LTD,JP3291200008        ,1697,60004,0.00%
KOGAN COM LTD ORDINARY FULLY PAID,AU000000KGN2        ,35950,223251,0.00%
KOITO MFG CO LTD NPV,JP3284600008        ,59978,1237702,0.00%
KOKUSAI ELECTRIC ORD SHS,JP3293330001        ,2829,62359,0.00%
KOMATSU LTD JPY,JP3304200003        ,87286,3902074,0.01%
KONAMI GROUP CORP,JP3300200007        ,42627,6483514,0.01%
KONE CORPORATION NEW,FI0009013403        ,5529,434634,0.00%
KONECRANES OYJ,FI0009005870        ,4077,417346,0.00%
KONGSBERG GRUPPEN AS,NO0003043309        ,1375,250300,0.00%
KONGSBERG GRUPPEN ORD SHS,NO0003043309        ,508,92323,0.00%
KONICA MINOLTA HOLDINGS INC,JP3300600008        ,17256,117484,0.00%
KONINKLIJKE AHOLD DELHAIZE NV,NL0011794037        ,11182,588883,0.00%
KONINKLIJKE PHILIPS NV,NL0000009538        ,9612,392265,0.00%
KOREA ELECTRIC TERMINAL CO LTD,KR7025540006        ,3006,220624,0.00%
KOREA LIFE INSURANCE,KR7088350004        ,346338,934733,0.00%
KOREAN REINSURANCE COMPANY,KR7003690005        ,3601,31411,0.00%
KOTAK MAHINDRA BANK LIMITED,INE237A01028        ,398654,13432290,0.03%
KRAFT HEINZ CO COM,US5007541064        ,43411,2153218,0.00%
KROGER CO COM,US5010441013        ,27521,2718108,0.01%
KRUNG THAI BANK PUB CO-FOREIGN,TH0150010Z11        ,45930,45691,0.00%
KTB INVESTMENT AND SECURITIES ORD,KR7030210009        ,22612,77774,0.00%
KUAISHOU TECHNOLOGY,KYG532631028        ,5255,45179,0.00%
KUBOTA CORPORATION,JP3266400005        ,11315,213853,0.00%
KUEHNE & NAGEL INTERNATIONAL AG,CH0025238863        ,733,271456,0.00%
KYB CORPORATION NPV,JP3220200004        ,7702,232640,0.00%
KYNDRYL HLDGS INC COM USD0.01,US50155Q1004        ,38790,2167704,0.00%
KYOBO SECURITIES CO LTD,KR7030610000        ,7548,46042,0.00%
KYOCERA CORP,JP3249600002        ,18345,297021,0.00%
KYOTO FINANCIAL GRNPV,JP3252200005        ,5792,138088,0.00%
KYOWA ELECTRONIC INSTRUMENTS ORD SHS,JP3255200002        ,5002,21437,0.00%
KYOWA KIRIN CO LTD,JP3256000005        ,3080,75199,0.00%
KYUDENKO CORP,JP3247050002        ,2388,126994,0.00%
L E LUNDBERGFORETAGEN AB - B SHARES,SE0000108847        ,866,63439,0.00%
L&K ENGINEERING CO LTD,TW0006139009        ,14330,158488,0.00%
L'OREAL,FR0000120321        ,12244,7000068,0.01%
L3 HARRIS TECHNOLOGIES INC,US5024311095        ,7625,2589614,0.00%
LA FRANCAISE DES JEUX SA,FR0013451333        ,1197,74507,0.00%
LA Z BOY IN,US5053361078        ,2630,185064,0.00%
LABCORP HOLDINGS I COM USD0.1,US5049221055        ,4605,1705486,0.00%
LAFARGEHOLCIM LTD,CH0012214059        ,67150,10454731,0.02%
LAM RESEARCH CORP COM USD 0.001 P S,US5128073062        ,134376,15676244,0.03%
LAMB WESTON HOLDINGS INC,US5132721045        ,10997,1187048,0.00%
LANCASHIRE HOLDINGS LTD,BMG5361W1047        ,21060,280736,0.00%
LANDIS AND GYR GROUP AG,CH0371153492        ,1081,110779,0.00%
LANTHEUS HOLDINGS INC,US5165441032        ,31822,4597855,0.01%
LARGAN PRECISION CO LTD,TW0003008009        ,34589,4558305,0.01%
LARSEN AND TOUBRO LIMITED,INE018A01030        ,50106,3410156,0.01%
LAS VEGAS SANDS CORP,US5178341070        ,296064,24559202,0.05%
LASERTEC CORP NPV,JP3979200007        ,1194,186393,0.00%
LATAM AIRLINES GROUP SA ADR,US51817R2058        ,4062,180961,0.00%
LEEDARSON IOT TECHNOLOGY INC,CNE100004P57        ,200339,695969,0.00%
LEGAL & GENERAL GROUP PLC,GB0005603997        ,70954,329818,0.00%
LEGEND BIOTECH CORP,US52490G1022        ,85272,4481551,0.01%
LEGRAND SA,FR0010307819        ,3155,496230,0.00%
LEIDOS HLDGS INC COM USD0.0001,US5253271028        ,7267,1690775,0.00%
LENNAR CORPORATION CLASS A,US5260571048        ,40989,9027960,0.02%
LENNOX INTL INC COM,US5261071071        ,1652,1626127,0.00%
LENOVO GROUP LTD,HK0992009065        ,18190,38123,0.00%
LEONARDO  SpA,IT0003856405        ,5790,251073,0.00%
LEXEO THERAPEUTICS INC,US52886X1072        ,51944,552035,0.00%
LF CORP,KR7093050003        ,18504,314663,0.00%
LG CHEM LTD,KR7051910008        ,21630,5932523,0.01%
LG INNOTEK CO LTD,KR7011070000        ,1471,261510,0.00%
LI NING CO LTD,KYG5496K1242        ,325399,1113637,0.00%
LIBERTY BROADBAND,US5303073051        ,6399,772645,0.00%
LIBERTY MEDIA CORP COM USD0.01 FORMULA ONE C,US5312297550        ,2515,376319,0.00%
LIBERTY MEDIA CORP ORD SHS SERIES C,US5312297220        ,1115,122604,0.00%
LIFCO AB SER B NPV,SE0015949201        ,2657,124498,0.00%
LIFE CORP,JP3966600003        ,4060,146666,0.00%
LIFE360 INC,AU0000045098        ,413261,9314913,0.02%
LIGHT AND WONDER INC,AU0000278103        ,33328,4571332,0.01%
LIGHTSPEED COMMERCE INC,CA53229C1077        ,99449,2446333,0.00%
LILLY (ELI) & CO USD,US5324571083        ,134997,168323360,0.32%
LINCOLN NATL CORPORATION IND USD,US5341871094        ,8227,421373,0.00%
LINDE PLC,IE000S9YS762        ,14847,10039670,0.02%
LINDT & SPRUENGLI AG-PC,CH0010570767        ,12,214357,0.00%
LINDT & SPRUENGLI AG-REG,CH0010570759        ,1,224071,0.00%
LION CORPORATION,JP3965400009        ,6329,114638,0.00%
LIVANOVA PLC,GB00BYMT0J19        ,52176,3902552,0.01%
LIVE NATION INC,US5380341090        ,8229,1721167,0.00%
LIVERAMP HOLDINGS,US53815P1084        ,1831,89825,0.00%
LIXIL CORPORATION,JP3626800001        ,40631,720507,0.00%
LKQ CORP COM,US5018892084        ,19867,1179218,0.00%
LLOYDS BANKING GP ADR,US5394391099        ,254026,1115968,0.00%
LLOYDS BANKING GROUP PLC,GB0008706128        ,18001342,19946839,0.04%
LOBLAW COMPANIES LTD,CA5394811015        ,1823,387288,0.00%
LOCKHEED MARTIN CORP COM STK USD0.01,US5398301094        ,76133,59752967,0.11%
LOEWS CORP,US5404241086        ,11415,1561329,0.00%
LOGISTA INTEGRAL S A,ES0105027009        ,5362,261861,0.00%
LOGITECH INTERNATIONAL SA,CH0025751329        ,1830,244732,0.00%
LOJAS RENNER SA,BRLRENACNOR1        ,593230,1879717,0.00%
LONCIN MOTOR ORD SHS A,CNE100001JP2        ,1762443,3548807,0.01%
LONDON STOCK EXCHANGE,GB00B0SWJX34        ,376411,85923393,0.16%
LONZA AG - REG,CH0013841017        ,869,829595,0.00%
LOOMIS AB NPV,SE0014504817        ,1440,70788,0.00%
LOREAL EUR 0.2 PRIME DE FIDELITE 2,FR001400M8G9        ,2720,1555131,0.00%
LOREAL EUR PRIME FIDELIT REGD,FR0011149590        ,23260,13298288,0.03%
LOTTE SHOPPING CO,KR7023530009        ,271,16107,0.00%
LOTTERY CORPORATION LIMITED,AU0000219529        ,32020921,158183349,0.30%
LOTUS BAKERIES NV,BE0003604155        ,4,79336,0.00%
LOUISIANA-PACIFIC CORP,US5463471053        ,1600,267522,0.00%
LOVISA HOLDINGS LIMITED ORDINARY FULLY PAID,AU000000LOV7        ,229757,6929478,0.01%
LOWE'S COMPANIES INC,US5486611073        ,18244,7272298,0.01%
LPL FINANCIAL HOLDINGS INC,US50212V1008        ,1006,530420,0.00%
LS CORP,KR7006260004        ,458,47380,0.00%
LT GROUP INC,PHY5342M1000        ,1233301,361574,0.00%
LULULEMON ATHLETIC,US5500211090        ,24217,14957344,0.03%
LUMENTUM HOLDINGS INC,US55024U1097        ,2711,367588,0.00%
LUNDIN GOLD INC,CA5503711080        ,2151,74062,0.00%
LUNDIN MINING CORP,CA5503721063        ,7481,103920,0.00%
LUPIN LTD,INE326A01037        ,44501,1977664,0.00%
LVMH MOET HENNESSY VUITTON SE,FR0000121014        ,30629,32554011,0.06%
Z HOLDINGS CORPORATION,JP3933800009        ,30489,131411,0.00%
LYCOPODIUM LTD,AU000000LYL7        ,8323,82726,0.00%
LYNAS RARE EARTHS LTD,AU000000LYC6        ,7726915,49684064,0.09%
LYONDELLBASELL INDUSTRIES,NL0009434992        ,13999,1679250,0.00%
M AND G PRUDENTIAL PLC ORD,GB00BKFB1C65        ,25763,103104,0.00%
M3 INC NPV,JP3435750009        ,5029,72202,0.00%
MACMAHON HOLDINGS,AU000000MAH3        ,1113003,383986,0.00%
MACQUARIE GROUP LTD,AU000000MQG1        ,2058981,456373172,0.86%
