E-MART CO LTD,KR7139480008        ,409,28447,0.00%
EAGERS AUTOMOTIVE LIMITED ORDINARY FULLY PAID,AU000000APE3        ,16310,193116,0.00%
EAST JAPAN RAILWAY JPY,JP3783600004        ,28417,816240,0.01%
EAST WEST BANCORP INC,US27579R1041        ,5136,794281,0.01%
EASTMAN CHEMICAL COM,US2774321002        ,3725,549354,0.01%
EATON CORPORATION PLC COM,IE00B8KQN827        ,3856,2066860,0.02%
EBAY INC,US2786421030        ,8354,835835,0.01%
EBOS GROUP LTD,NZEBOE0001S6        ,157534,5354571,0.05%
ECOLAB LTD,US2788651006        ,3118,1179968,0.01%
EDENRED,FR0010908533        ,517,27456,0.00%
EDGEWISE THERAPEUTICS INC,US28036F1057        ,11621,501131,0.01%
EDP RENOVAVEIS SA,ES0127797019        ,624,10470,0.00%
EDWARDS LIFESCIENCES CORP,US28176E1082        ,16334,1952988,0.02%
EICHER MOTORS INR1,INE066A01021        ,724,65844,0.00%
EIFFAGE INC,FR0000130452        ,147,20802,0.00%
EISAI CO LTD JPY,JP3160400002        ,738,32854,0.00%
ELASTIC NV,NL0013056914        ,1834,293487,0.00%
ELBIT SYSTEMS LTD,IL0010811243        ,53,22536,0.00%
ELDERS LIMITED,AU000000ELD6        ,47720,341672,0.00%
ELECTRIC POWER DEVELOPMENT CO LTD,JP3551200003        ,36041,952633,0.01%
ELECTROCOMPONENTS PLC,GB0003096442        ,14741,203210,0.00%
ELECTROLUX AB SER B NPV,SE0016589188        ,4606,61878,0.00%
ELECTRONIC ARTS INC,US2855121099        ,4390,1037226,0.01%
ELEMENT FINANCIAL CORP,CA2861812014        ,783,25539,0.00%
ELEMENTIS PLC,GB0002418548        ,22392,65765,0.00%
ELEVANCE HEALTH INC,US0367521038        ,5217,3108484,0.03%
EMCOR GROUP INC,US29084Q1004        ,114,83376,0.00%
EMECO HOLDINGS LTD,AU000000EHL7        ,205857,188359,0.00%
EMERALD RESOURCES NL ORDINARY FULLY PAID,AU000000EMR4        ,207964,675884,0.01%
EMERSON ELECTRIC CO,US2910111044        ,6595,1319997,0.01%
EMIRATES NBD BANK PJSC,AEE000801010        ,1096,10334,0.00%
EML PAYMENTS LIMITED,AU000000EML7        ,29728,24823,0.00%
EMPIRE CO LIMITED,CA2918434077        ,220,10865,0.00%
EMS CHEMIE HLDS REG,CH0016440353        ,14,15255,0.00%
ENACT HLDGS INC COM,US29249E1091        ,1701,88977,0.00%
ENDEAVOUR GROUP LIMITED ORDINARY FULLY PAID DEFERRED SETTLEMENT,AU0000154833        ,899550,3778110,0.04%
ENDEAVOUR MINING PLC,GB00BL6K5J42        ,367,10583,0.00%
ENEOS HOLDINGS INC,JP3386450005        ,6621,56227,0.00%
ENI SPA,IT0003132476        ,5495,120307,0.00%
ENLIVEN THERAPEUTICS ORD SHS,US29337E1029        ,24160,877961,0.01%
ENOMOTO ORD SHS,JP3165800008        ,179,2642,0.00%
ENOVA INTERNATIONAL INC,US29357K1034        ,531,82275,0.00%
ENPHASE ENERGY INC,US29355A1079        ,6834,758092,0.01%
ENTAIN PLC,IM00B5VQMV65        ,1277,17747,0.00%
ENTEGRIS INC,US29362U1043        ,320,51141,0.00%
EOG RESOURCES INC,US26875P1012        ,6656,1317859,0.01%
EPAM SYSTEMS INC,US29414B1044        ,2410,910011,0.01%
EPIROC AB,SE0015658109        ,1390,39129,0.00%
EPIROC AB SER B NPV POST SPLIT,SE0015658117        ,779,19635,0.00%
EQT AB,SE0012853455        ,785,35144,0.00%
EQT CORPORATION,US26884L1098        ,10765,801682,0.01%
EQT HOLDINGS LIMITED,AU000000EQT1        ,15665,501285,0.01%
EQUIFAX INC,US2944291051        ,2048,843044,0.01%
EQUINOR ASA,NO0010096985        ,2036,76841,0.00%
EQUITABLE HOLDINGS INC,US29452E1010        ,17109,1303460,0.01%
ERICSSON LM - B SHS,SE0000108656        ,7456,97960,0.00%
ERICSSON TELEFON,SE0000108649        ,1114,14620,0.00%
ERIE INDEMNITY CO,US29530P1021        ,874,582238,0.01%
ERSTE GROUP BANK AG,AT0000652011        ,880,87853,0.00%
ESSENTRA PLC,GB00B0744359        ,11212,30163,0.00%
ESSILORLUXOTTICA,FR0000121667        ,627,247077,0.00%
ESSITY AB SER B NPV,SE0009922164        ,1477,63823,0.00%
ESTEE LAUDER COMPANIES,US5184391044        ,5255,636379,0.01%
ETSY INC,US29786A1060        ,2318,197988,0.00%
EURAZEO,FR0000121121        ,91,10982,0.00%
EUROFINS SCIENTIFIC,FR0014000MR3        ,270,22261,0.00%
EURONET WORLDWIDE INC,US2987361092        ,744,123656,0.00%
EURONEXT NV,NL0006294274        ,160,29068,0.00%
EVERBRIGHT SECURITIES CO LTD,CNE1000029M4        ,15743,26186,0.00%
EVERCORE INC COM USD 0.01 CLASS A,US29977A1051        ,949,424788,0.00%
EVEREST GROUP LTD,BMG3223R1088        ,1106,647197,0.01%
EVOLUTION AB,SE0012673267        ,413,51521,0.00%
EVOLUTION MINING LIMITED,AU000000EVN4        ,1404137,6753901,0.07%
EVONIK INDUSTRIES AG,DE000EVNK013        ,512,14328,0.00%
EVS BROADCAST EQUIPMENT,BE0003820371        ,501,25919,0.00%
EXACT SCIENCES CORP,US30063P1057        ,386,35010,0.00%
EXELIXIS INC,US30161Q1040        ,29334,1577696,0.02%
EXOR NV,NL0012059018        ,210,31063,0.00%
EXPEDIA GROUP INC,US30212P3038        ,2508,754762,0.01%
EXPEDITORS INTL WASH INC,US3021301094        ,3410,610066,0.01%
EXPENSIFY INC A,US30219Q1067        ,1258,6808,0.00%
EXPERIAN GROUP LTD,GB00B19NLV48        ,1940,135189,0.00%
EXTREME CO LTD,JP3161270008        ,544,8364,0.00%
EXXON MOBIL CORPORATION,US30231G1022        ,45230,7858140,0.08%
F.C.C. CO LTD,JP3166900005        ,18121,594997,0.01%
F5 NETWORKS INC,US3156161024        ,2415,981006,0.01%
FABRINET,KYG3323L1005        ,4712,1673368,0.02%
FACTSET RESEARCH SYSTEMS INC,US3030751057        ,858,665904,0.01%
FAIR ISAAC CORPORATION,US3032501047        ,824,2651116,0.03%
FAIRFAX FINL HOLDINGS LTD CAD,CA3039011026        ,44,99024,0.00%
FANUC CORP NPV,JP3802400006        ,11948,512663,0.01%
FAR EAST SMARTER ENERGY CO A,CNE000000HQ7        ,47316,49731,0.00%
FAST RETAILING CO LTD,JP3802300008        ,408,225566,0.00%
FASTENAL CO,US3119001044        ,8004,929571,0.01%
FBD HOLDINGS PLC,IE0003290289        ,357,7546,0.00%
FDXEX CORP COM,US31428X1063        ,12412,5639706,0.06%
FEDERAL BANK LTD,INE171A01029        ,94384,356151,0.00%
FEDERATED HERMES COM NPV CLASS B,US3142111034        ,1686,111913,0.00%
FERGUSON ENTERPRISES INC,US31488V1070        ,419,117416,0.00%
FERRARI NV COM,NL0011585146        ,266,183441,0.00%
FERREXPO PLC,GB00B1XH2C03        ,10007,21416,0.00%
FERROVIAL SE EUR0.01,NL0015001FS8        ,1021,69311,0.00%
FIDELITY NATIONAL INFORMATION SERVICES INC,US31620M1062        ,10684,1393769,0.01%
FIDELITY NATL FINL FNF GROUP,US31620R3030        ,551,49970,0.00%
FIH MOBILE LTD COM USD0.04,KYG3472Y1017        ,61911,11843,0.00%
FILA HOLDINGS CORP,KR7081660003        ,981,43387,0.00%
FINANCIAL PRODUCTS GROUP CO LTD,JP3166990006        ,1284,38188,0.00%
FINECOBANK BANCO FINECO SPA,IT0000072170        ,1289,36194,0.00%
FINEOS CORPORATION HOLDINGS PLC,AU0000054322        ,1251828,2303363,0.02%
FIRAN TECHNOLOGY GROUP CORP,CA3180931014        ,586,4794,0.00%
FIRST ABU DHABI BANK PJSC,AEN000101016        ,3571,21573,0.00%
FIRST BANCORP PUERTO RICO,PR3186727065        ,34099,1023836,0.01%
FIRST CITIZENS BCSHS - CL A,US31946M1036        ,22,75232,0.00%
FIRST HAWAIIAN INC,US32051X1081        ,3452,144662,0.00%
FIRST INTERNATIONAL BANK OF ISRAEL LTD,IL0005930388        ,2760,219516,0.00%
FIRST QUANTUM MINERALS LTD,CA3359341052        ,1499,31194,0.00%
FIRST SOLAR INC,US3364331070        ,3799,1081422,0.01%
FIRSTGROUP PLC,GB0003452173        ,20838,67737,0.00%
FIRSTRAND LTD,ZAE000066304        ,1524,9910,0.00%
FISERV INC COM,US3377381088        ,7712,2558527,0.03%
FISHER & PAYKEL HEALTHCARE,NZFAPE0001S2        ,52676,1841041,0.02%
FISHER & PAYKEL HEALTHCARE CORPORATION LTD,NZFAPE0001S2        ,1236,42963,0.00%
FIVERR INTERNATIONAL LTD,IL0011582033        ,7326,375423,0.00%
FLEETPARTNERS GROUP LIMITED ORDINARY FULLY PAID,AU0000272924        ,18372,49420,0.00%
FLETCHER BUILDING LIMITED,NZFBUE0001S0        ,740258,1887658,0.02%
FLEX LTD COM,SG9999000020        ,24877,1542454,0.02%
FLIGHT CENTRE TRAVEL GROUP LIMITED,AU000000FLT9        ,10187,169912,0.00%
FLOWERS FOODS INC,US3434981011        ,4780,159506,0.00%
FLUIDRA SA,ES0137650018        ,21707,853857,0.01%
FLUTTER ENTERTAINM ORD,IE00BWT6H894        ,4838,2027880,0.02%
FLUTTER ENTERTAINMENT ORD SHS,IE00BWT6H894        ,372,155282,0.00%
FMC CORP,US3024913036        ,5568,437141,0.00%
FOOD & LIFE COMPANIES LTD,JP3397150008        ,2643,90817,0.00%
FOOT LOCKER INC,US3448491049        ,1759,61811,0.00%
FORD MOTOR COMPANY,US3453708600        ,57412,918003,0.01%
FORESIGHT GROUP HOLDINGS LTD,GG00BMD8MJ76        ,2739,22772,0.00%
FORTESCUE METALS GROUP LTD,AU000000FMG4        ,635022,11589158,0.12%
FORTINET INC COM,US34959E1091        ,20971,3200147,0.03%
FORTIVE CORP,US34959J1088        ,6397,774841,0.01%
FORTNOX AB,SE0017161243        ,4175,43997,0.00%
FORTUNA MINING COR COM NPV,CA3499421020        ,7818,54172,0.00%
FORTUNE BRANDS HOME AND SECURITY,US34964C1062        ,265,29194,0.00%
FOSCHINI GP ZAR,ZAE000148466        ,6816,98014,0.00%
FOSSIL GROUP INC,US34988V1061        ,2852,7692,0.00%
FOX CORP,US35137L1052        ,5753,451366,0.00%
FOX CORP COM,US35137L2043        ,3503,258805,0.00%
FOXSEMICON INTEGRATED TECHNOLOGY INC,TW0003413001        ,40017,599316,0.01%
FRANCO NEVADA CORP,CA3518581051        ,519,98486,0.00%
FRANKLIN RESOURCES INC,US3546131018        ,14570,477454,0.00%
FRASERS GROUP PLC,GB00B1QH8P22        ,4769,58749,0.00%
FREAKOUT HOLDINGS INC,JP3826550000        ,337,2174,0.00%
FREEPORT  MCMORAN INC,US35671D8570        ,67084,4125891,0.04%
FREIGHTWAYS GROUP LTD,NZFREE0001S0        ,20881,201036,0.00%
FRESENIUS MEDICAL CARE AG & CO,DE0005785802        ,410,30307,0.00%
FRESENIUS SE CO KGAA,DE0005785604        ,891,49988,0.00%
FRESHWORKS ORD SHS CLASS A,US3580541049        ,3134,81847,0.00%
FRONTDOOR INC,US35905A1097        ,5400,476817,0.00%
FTAC OLYMPUS ACQUISITION CORP,US70451X1046        ,6001,97312,0.00%
FUFENG GROUP LTD,KYG368441195        ,30202,34412,0.00%
FUJI ELECTRIC CO LTD,JP3820000002        ,254,22296,0.00%
FUJI FILM HOLDINGS CORP,JP3814000000        ,22439,763078,0.01%
FUJIAN ANJOY FOODS CO LTD,CNE100002YQ7        ,65733,1185120,0.01%
FUJIAN FOXIT SOFTWARE DEVELOPMENT JOINT STOCK ORD SHS A,CNE100004348        ,22765,338309,0.00%
FUJIKURA LIMITED,JP3811000003        ,661,44503,0.00%
FUJITSU JPY,JP3818000006        ,25788,741936,0.01%
FUKUDA DENSHI CO LTD,JP3806000000        ,101,7522,0.00%
FURUKAWA ELECTRIC NPV,JP3827200001        ,11401,783269,0.01%
FUTU HOLDINGS LTD,US36118L1061        ,110,14240,0.00%
FUTURE PLC,GB00BYZN9041        ,3339,62611,0.00%
G-III APPAREL GROUP LIMITED,US36237H1014        ,18121,954733,0.01%
GALAXY ENTERTAINMENT GROUP LIMITED,HK0027032686        ,367347,2520509,0.03%
GALDERMA GROUP N ORD SHS,CH1335392721        ,160,28725,0.00%
GALP ENERGIA SGPS SA-B SHRS,PTGAL0AM0009        ,980,26153,0.00%
GAMEVIL INC,KR7063080006        ,303,11205,0.00%
GAP INC COM STK USD0.05,US3647601083        ,87031,3321552,0.03%
GARMIN ORD,CH0114405324        ,2463,820640,0.01%
GARTNER INC CL-A,US3666511072        ,5096,3987207,0.04%
GE AEROSPACE,US3696043013        ,12830,3456219,0.04%
GE HEALTHCARE HOLDING LLC,US36266G1076        ,6952,877816,0.01%
GE VERNOVA ORS SHS,US36828A1016        ,2948,1566165,0.02%
GEA GROUP AG,DE0006602006        ,310,24788,0.00%
GEBERIT AG-REG,CH0030170408        ,71,64695,0.00%
GEELY AUTOMOBILE HOLDINGS LIMITED,KYG3777B1032        ,18456,56871,0.00%
GENERAC HOLDINGS INC,US3687361044        ,6389,1600080,0.02%
GENERAL DYNAMICS CORP,US3695501086        ,3021,1285759,0.01%
GENERAL INTERFACE SOLUTION HOLDING LTD,KYG3808R1011        ,127099,316830,0.00%
GENERAL MILLS INC,US3703341046        ,8631,888964,0.01%
GENERAL MOTORS CO,US37045V1008        ,14840,1276819,0.01%
GENERALI,IT0000062072        ,2530,115376,0.00%
GENESCO INC,US3715321028        ,3882,268015,0.00%
GENESIS MINERALS LTD,AU000000GMD9        ,1827225,4513245,0.05%
GENMAB AS,DK0010272202        ,133,44383,0.00%
GENTERA SAB DE CV,MX01GE0E0004        ,361065,681529,0.01%
GENTING SINGAPORE LTD,SGXE21576413        ,12080,10941,0.00%
GENTRACK GROUP LIMITED ORDINARY FULLY PAID,NZGTKE0002S9        ,311617,3611639,0.04%
GENUINE PARTS CO USD,US3724601055        ,3361,633796,0.01%
GENUIT GROUP PLC,GB00BKRC5K31        ,8115,63932,0.00%
GENUS PLC,GB0002074580        ,1939,60787,0.00%
GENUSPLUS GROUP LTD ORDINARY FULLY PAID,AU0000117160        ,61544,161244,0.00%
GENWORTH FINANCIAL-A,US37247D1063        ,9172,103549,0.00%
GEORGE WESTON LTD,CA9611485090        ,121,30437,0.00%
GERON CORP,US3741631036        ,49844,284985,0.00%
GETINGE AB-B,SE0000202624        ,457,12127,0.00%
GFL ENVIRONMENTAL INC,CA36168Q1046        ,441,31727,0.00%
GILDAN ACTIVEWEAR INC,CA3759161035        ,309,23446,0.00%
GILEAD SCIENCES INC,US3755581036        ,16686,2489310,0.03%
GIVAUDAN - REG,CH0010645932        ,20,137895,0.00%
GJENSIDIGE FORSIKR NOK,NO0010582521        ,312,8907,0.00%
GLOBAL E ONLINE ORD,IL0011741688        ,77301,6808058,0.07%
GLOBAL PAYMENTS INC,US37940X1028        ,4518,817720,0.01%
GLOBE LIFE INC,US37959E1029        ,6566,1182612,0.01%
GLOBUS MEDICAL INC,US3795772082        ,11886,1587818,0.02%
GMO INTERNET GROUP INC,JP3152750000        ,1435,39511,0.00%
GODADDY INC,US3802371076        ,9667,3081556,0.03%
GODREJ CONSUMER PRODUCTS LTD,INE102D01028        ,3727,76074,0.00%
GOKURAKUYU HOLDINGS CO LTD,JP3387850005        ,1095,5188,0.00%
GOLD ROAD RESOURCES LTD,AU000000GOR5        ,2987996,6125391,0.06%
GOLDEN AGRI-RESOURCE LTD,MU0117U00026        ,123399,38715,0.00%
GOLDEN OCEAN GROUP LTD,BMG396372051        ,30776,436343,0.00%
GOLDMAN SACHS GROUP INC.,US38141G1040        ,10195,9428709,0.10%
GOODWIN ORD SHS,GB0003781050        ,158,25094,0.00%
GOOSEHEAD INSURANCE INC,US38267D1090        ,483,83595,0.00%
GPE BRUXELLES LAM NPV,BE0003797140        ,176,19432,0.00%
GQG PARTNERS INC,AU0000180499        ,6030232,12482579,0.13%
GRAB HOLDINGS LTD,KYG4124C1096        ,4834,36848,0.00%
GRACO INC,US3841091040        ,353,48017,0.00%
GRAFTON GROUP UT 1 ORD 1C ORD AND 17A ORD,IE00B00MZ448        ,6540,126960,0.00%
GRAINCORP LIMITED,AU000000GNC9        ,20423,149904,0.00%
GRAINGER W W INC,US3848021040        ,587,999245,0.01%
GRANITE CONSTRUCTION INC,US3873281071        ,892,126356,0.00%
GREAT WALL MOTOR COMPANY H,CNE100000338        ,73033,207427,0.00%
GREAT WEST LIFECO,CA39138C1068        ,562,30093,0.00%
GREATLAND GOLD PLC,GB00B15XDH89        ,7729337,994367,0.01%
GREENCORE GROUP PLC,IE0003864109        ,16292,63868,0.00%
GREGGS PLC,GB00B63QSB39        ,3908,220224,0.00%
GRIFFON CORPORATION,US3984331021        ,764,87984,0.00%
GRIFOLS SA,ES0171996087        ,465,7113,0.00%
GRUPO CATALANA OCCIDENTE SA,ES0116920333        ,811,48673,0.00%
GSK PLC,GB00BN7SWP63        ,8744,238166,0.00%
GUANGDONG LINGXIAO PUMP INA,CNE100002MZ3        ,14259,57646,0.00%
GUANGDONG TCL SMART HOME APPLIANCES ORD SHS A,CNE100001D05        ,37047,107552,0.00%
GUANGDONG VANWARD NEW ELECTRIC ORD SHS A,CNE100000ZT2        ,94051,213103,0.00%
GUANGSHEN RAILWAY CO LTD,CNE100000379        ,82777,37176,0.00%
GUANGZHO GUANGRI STOCK ORD SHS A,CNE000000JS9        ,183411,592520,0.01%
GUANGZHOU AUTOMOBILE GROUP,CNE100000Q35        ,170237,120700,0.00%
GUIDEWIRE SOFTWARE INC,US40171V1008        ,10840,2951375,0.03%
GUODIAN NANJING AUTOMATION ORD SHS A,CNE0000010S3        ,252248,375080,0.00%
GUOSHENG FINANCIAL HOLDING INC,CNE100001D21        ,175522,508390,0.01%
GUOTAI JUNAN SECURITIES CO LTD,CNE1000022F3        ,12348,50956,0.00%
GUZMAN Y GOMEZ ORD SHS,AU0000336679        ,97731,3964963,0.04%
GWA GROUP LIMITED,AU000000GWA4        ,24856,60151,0.00%
H & R BLOCK INCORPORATED,US0936711052        ,16019,1367103,0.01%
H LUNDBECK A S SER B DKK1,DK0061804770        ,89422,828666,0.01%
HAIDILAO INTERNATIONAL HOLDING LTD,KYG4290A1013        ,37326,123396,0.00%
HAIER SMART HOME ADR,US40523H1068        ,615,13912,0.00%
HAITIAN INTERNATIONAL HOLDINGS LTD,KYG4232C1087        ,2204,9668,0.00%
HALEON PLC,GB00BMX86B70        ,1384298,10567655,0.11%
HALLIBURTON CO,US4062161017        ,16600,728972,0.01%
HALMA PLC,GB0004052071        ,801,43561,0.00%
HALOZYME THERAPEUT COM,US40637H1095        ,2519,194500,0.00%
HAMAT GROUP LTD,IL0003840167        ,1373,10439,0.00%
HAMILTON LANE INC,US4074971064        ,699,167124,0.00%
HANA FINANCIAL GROUP,KR7086790003        ,14021,873756,0.01%
HANESBRANDS INC,US4103451021        ,105677,1389346,0.01%
HANG SENG BANK,HK0011000095        ,1587,31532,0.00%
HANKYU HANSHIN HOLDINGS NPV,JP3774200004        ,452,19120,0.00%
HANNOVER RUECK SE,DE0008402215        ,127,51353,0.00%
HANSEN TECHNOLOGIES LIMITED,AU000000HSN3        ,74278,397388,0.00%
HANWA CO LTD,JP3777800008        ,579,29626,0.00%
HAREL INSURANCE INVESTMENTS AND FINANCIAL SERVICES LTD,IL0005850180        ,2467,55103,0.00%
HARGREAVES LANSDOWN PLC,GB00B1VZ0M25        ,711,15787,0.00%
HARTFORD FINANCIAL SERVICES GROUP INC,US4165151048        ,6828,1206507,0.01%
HARVEY NORMAN HOLDINGS LTD,AU000000HVN7        ,618182,2886911,0.03%
HASBRO INC,US4180561072        ,4975,449269,0.00%
HASHICORP INC,US4181001037        ,1227,67821,0.00%
HAVAS NV,NL0015002AH0        ,1440,3909,0.00%
HAVELLS INDIA LTD,INE176B01034        ,3738,118138,0.00%
HAYS PLC,GB0004161021        ,52050,84596,0.00%
HAYWARD HOLDINGS INC,US4212981009        ,2450,60506,0.00%
HD HYUNDAI HEAVY INDUSTRIES CO LTD,KR7329180004        ,335,105633,0.00%
HD HYUNDAI MARINE SOLUTION C,KR7443060009        ,686,121542,0.00%
HDFC ASSET MANAGEMENT COMPANY LTD,INE127D01025        ,809,64076,0.00%
HDFC BANK INR1,INE040A01034        ,202888,6785626,0.07%
HDFC LIFE INSURANCE CO LTD,INE795G01014        ,23623,274986,0.00%
HDHYUNDAI MARINE ENGINE,KR7071970008        ,177,4760,0.00%
HEALIUS LTD ORDINARY FULLY PAID,AU0000033359        ,303863,416292,0.00%
HEICO CORP,US4228062083        ,1171,352011,0.00%
HEICO CORP COM,US4228061093        ,184,70614,0.00%
HEIDELBERGCEMENT AG,DE0006047004        ,330,65846,0.00%
HEINEKEN HOLDING NV,NL0000008977        ,377,36514,0.00%
HEINEKEN NV,NL0000009165        ,608,69805,0.00%
HELIA GROUP LIMITED ORDINARY FULLY PAID,AU0000251498        ,105493,471552,0.00%
HELLO GROUP INC,US4234031049        ,2940,36615,0.00%
HELLOWORLD TRAVEL LIMITED,AU000000HLO6        ,68960,134816,0.00%
HEMNET GROUP AB,SE0015671995        ,1838,90249,0.00%
HENAN PINGGAO ELECTRIC CO LTD,CNE000001774        ,367302,1560454,0.02%
HENGDIAN GROUP TOSPO LIGHTING CO LTD,CNE100002Y33        ,102037,265743,0.00%
HENKEL AG & CO KGAA,DE0006048408        ,208,25839,0.00%
HENKEL AG & CO KGAA NON VTG PREF,DE0006048432        ,357,50573,0.00%
HENNES & MAURITZ,SE0000106270        ,1195,26045,0.00%
HENRY SCHEIN CORP COM,US8064071025        ,4685,523671,0.01%
HERMES INTERNATIONAL,FR0000052292        ,67,259391,0.00%
HESS CORP,US42809H1077        ,4128,886748,0.01%
HEWLETT PACKARD CO,US40434L1052        ,31030,1635330,0.02%
HEWLETT PACKARD ENTERPRISE CO,US42824C1099        ,42435,1463265,0.01%
HEXAGON AB,SE0015961909        ,4380,67608,0.00%
HEXCEL CORP,US4282911084        ,1997,202266,0.00%
HF SINCLAIR CORPOR COM,US4039491000        ,331,18719,0.00%
HIKARI TSUSHIN INC,JP3783420007        ,33,11717,0.00%
HIKMA PHARMACEUTICALS PLC,GB00B0LCW083        ,333,13406,0.00%
HILL SMITH HOLDINGS PLC,GB0004270301        ,2915,110136,0.00%
HILTON FOOD GROUP PLC,GB00B1V9NW54        ,3399,62367,0.00%
HILTON WORLDWIDE H COM,US43300A2033        ,3762,1501572,0.02%
HIMS & HERS HEALTH ORD SHS CLASS A,US4330001060        ,3616,141233,0.00%
HINDALCO INDUSTRIES LTD,INE038A01020        ,6612,75146,0.00%
HINDUSTAN AERONAUT INR5 POST SUBD,INE066F01020        ,2856,225104,0.00%
HINDUSTAN UNILEVER LIMITED,INE030A01027        ,3263,143253,0.00%
HINO MOTORS LTD,JP3792600003        ,73312,426434,0.00%
HIROSE ELECTRIC JPY,JP3799000009        ,1057,203578,0.00%
HISAMITSU PHARMACEUTICAL CO,JP3784600003        ,1057,44376,0.00%
HISCOX LTD,BMG4593F1389        ,15417,337739,0.00%
HISENSE KELON ELECTRICAL HOLDINGS CO LTD,CNE100000353        ,14875,75929,0.00%
HITACHI CONSTRUCTION MACHINE,JP3787000003        ,165,5976,0.00%
HITACHI ENERGY INDIA LTD,INE07Y701011        ,305,82966,0.00%
HITACHI NPV,JP3788600009        ,53359,2158924,0.02%
HITE JINRO CO LTD,KR7000080002        ,508,10880,0.00%
HITEVISION ORD A,CNE100003Q16        ,229268,1193183,0.01%
HMC CAPITAL LTD,AU0000058943        ,31938,314904,0.00%
HOCHSCHILD MINING PLC,GB00B1FW5029        ,11676,50542,0.00%
HOEGH AUTOLINERS ORD SHS,NO0011082075        ,5841,94029,0.00%
HOKUHOKU FINANCIAL GROUP INC,JP3842400008        ,3054,60275,0.00%
HOLMEN AB SER B NPV,SE0011090018        ,119,7055,0.00%
HOLOGIC INC,US4364401012        ,5535,644438,0.01%
HOME DEPOT INC,US4370761029        ,8435,5299588,0.05%
HON HAI PRECISION INDUSTRY,TW0002317005        ,343260,3111548,0.03%
HONDA MOTOR CO LTD,JP3854600008        ,9468,149358,0.00%
HONEYWELL INTERNATIONAL INC,US4385161066        ,42240,15410750,0.16%
HONG KONG EXCHANGE & CLEARING,HK0388045442        ,18034,1105423,0.01%
HONG LEONG BANK BHD,MYL5819OO007        ,6081,45159,0.00%
HONG TAI ELECTRIC INDUSTRIAL ORD SHS,TW0001612000        ,180203,300952,0.00%
HORIBA LTD,JP3853000002        ,705,66280,0.00%
HORMEL FOODS CORPORATION,US4404521001        ,10631,538642,0.01%
HORNBACH HOLDINGS AG AND CO KGAA,DE0006083405        ,9406,1142115,0.01%
HOSHIZAKI CORP,JP3845770001        ,220,14191,0.00%
HOWMET AEROSPACE I COM USD,US4432011082        ,5676,1002652,0.01%
HOYA CORPORATION JPY,JP3837800006        ,2873,584985,0.01%
HSBC HOLDINGS PLC,GB0005405286        ,476793,7573773,0.08%
HUAZHU GROUP LIMIT SPONSORED,US44332N1063        ,48130,2567600,0.03%
HUAZHU GROUP LTD,KYG465871120        ,59633,322371,0.00%
HUB24 LIMITED ORDINARY FULLY PAID,AU000000HUB4        ,91381,6360120,0.07%
HUBBELL INC,US4435106079        ,1020,690332,0.01%
HUBEI BIOCAUSE PHARMACEUTICAL CO LTD,CNE000000F48        ,5730,5921,0.00%
HUBSPOT INC,US4435731009        ,1192,1341870,0.01%
HUDBAY MINERALS INC,CA4436281022        ,11206,146733,0.00%
HUMANA INC,US4448591028        ,4372,1791610,0.02%
HUNTINGTON INGALLS INDUSTRIES INC,US4464131063        ,1763,538105,0.01%
HUSQVARNA AB - B SHARES,SE0001662230        ,7432,62726,0.00%
HUT 8 CORP,US44812J1043        ,5196,171838,0.00%
