Table 1 – Assets,,,,
,,,,
Portfolio Holdings Information for Investment Option [Accumulation - Balanced]—Assets,,,,
,,,Value (AUD),Weighting (%)
Telefonica Brasil SA,VIVT3 BZ,"63,125","771,851",0.00%
Telefonica SA,TEF SM,"32,601","214,659",0.00%
Teleperformance SE,TEP FP,"7,929","1,102,256",0.00%
Telia Co AB,TELIA SS,"593,710","2,661,702",0.01%
Telix Pharmaceuticals Ltd,TLX AU,"673,758","16,581,180",0.04%
Telstra Group Ltd,TLS AU,"45,333,167","181,786,002",0.43%
Temple & Webster Group Ltd,TPW AU,"21,254","278,422",0.00%
Tenaga Nasional Bhd,TNB MK,"262,968","1,419,073",0.00%
Tenaris SA,TEN IM,"25,043","756,830",0.00%
Tencent Holdings Ltd,700 HK,"816,233","70,769,823",0.17%
Tencent Music Entertainment Group,TME US,"3,868","70,912",0.00%
Teradyne Inc,TER US,"13,155","2,675,318",0.01%
Terna - Rete Elettrica Nazionale,TRN IM,"172,256","2,195,247",0.01%
Ternium SA,TX US,"38,636","1,814,645",0.00%
Tesco PLC,TSCO LN,"2,421,029","18,036,359",0.04%
Tesla Inc,TSLA US,"157,265","102,575,659",0.24%
Texas Instruments Inc,TXN US,"28,662","8,680,445",0.02%
Texas Pacific Land Corp,TPL US,289,"515,656",0.00%
Textron Inc,TXT US,"49,355","6,097,338",0.01%
TFI International Inc,TFII CN,"38,325","8,360,022",0.02%
Thales SA,HO FP,"39,537","9,168,031",0.02%
Allstate Corp/The,ALL US,"6,105","1,901,087",0.00%
Campbell Soup Co,CPB US,"2,331","157,671",0.00%
Procter & Gamble Co/The,PG US,"98,985","26,802,527",0.06%
Southern Co/The,SO US,"24,843","3,303,024",0.01%
Walt Disney Co/The,DIS US,"53,061","9,542,670",0.02%
Thermo Fisher Scientific Inc,TMO US,"39,865","33,496,111",0.08%
Thomson Reuters Corp,TRI CN,768,"198,948",0.00%
TIM SA/Brazil,TIMB US,623,"11,833",0.00%
TIM SA/Brazil,TIMS3 BZ,"93,378","353,494",0.00%
Titan Co Ltd,TTAN IN,"188,535","11,570,620",0.03%
TJX Cos Inc/The,TJX US,"216,746","42,291,999",0.10%
TMBThanachart Bank PCL,TTB/F TB,"272,193","23,983",0.00%
T-Mobile US Inc,TMUS US,"39,080","13,932,058",0.03%
TMX Group Ltd,X CN,"5,417","269,380",0.00%
Toho Gas Co Ltd,9533 JP,"1,030","44,984",0.00%
Tohoku Electric Power Co Inc,9506 JP,"5,703","69,509",0.00%
Tokio Marine Holdings Inc,8766 JP,"119,061","7,008,635",0.02%
Tokyo Electric Power Co Holdings Inc,9501 JP,"18,059","88,156",0.00%
Tokyo Electron Ltd,8035 JP,"21,660","5,383,521",0.01%
Tokyo Gas Co Ltd,9531 JP,"4,198","188,529",0.00%
Toll Brothers Inc,TOL US,"1,162","236,307",0.00%
Tongwei Co Ltd,600438 C1,"4,619","22,597",0.00%
TOPPAN Holdings Inc,7911 JP,"24,301","1,051,171",0.00%
Toray Industries Inc,3402 JP,"75,442","776,470",0.00%
Toromont Industries Ltd,TIH CN,"12,343","1,575,228",0.00%
Toronto-Dominion Bank/The,TD CN,"12,824","1,102,110",0.00%
TotalEnergies SE,TTE FP,"278,071","24,820,313",0.06%
TOTO Ltd,5332 JP,"4,989","195,094",0.00%
Tourmaline Oil Corp,TOU CN,"10,137","757,255",0.00%
Toyota Motor Corp,7203 JP,"139,771","4,518,959",0.01%
Toyota Tsusho Corp,8015 JP,"20,323","590,651",0.00%
TPG Telecom Ltd,TPG AU,"7,730,434","34,709,649",0.08%
Tractor Supply Co,TSCO US,"11,401","977,039",0.00%
Trade Desk Inc/The,TTD US,"212,438","40,326,077",0.10%
Tradeweb Markets Inc,TW US,"39,131","8,274,328",0.02%
Trane Technologies PLC,TT US,"15,364","9,165,313",0.02%
TransDigm Group Inc,TDG US,"13,931","28,513,117",0.07%
TransMedics Group Inc,TMDX US,"8,572","863,210",0.00%
Travelers Cos Inc/The,TRV US,"7,989","3,108,183",0.01%
Travis Perkins PLC,TPK LN,"309,724","4,567,201",0.01%
Treasury Wine Estates Ltd,TWE AU,"9,659,033","109,436,844",0.26%
Trelleborg AB,TRELB SS,"32,258","1,785,224",0.00%
Trend Micro Inc/Japan,4704 JP,"32,255","2,839,817",0.01%
Trent Ltd,TRENT IN,"109,143","14,667,011",0.03%
Trex Co Inc,TREX US,"97,151","10,831,540",0.03%
Trimble Inc,TRMB US,28,"3,250",0.00%
Trip.com Group Ltd,TCOM US,"84,852","9,409,534",0.02%
Trip.com Group Ltd,9961 HK,"11,678","1,311,175",0.00%
True Corp PCL,TRUE/F TB,"42,706","22,455",0.00%
Truist Financial Corp,TFC US,"22,980","1,610,045",0.00%
TS Tech Co Ltd,7313 JP,"1,600","29,541",0.00%
Tuas Ltd,TUA AU,"35,946","228,614",0.00%
Tube Investments of India Ltd,TIINDIA IN,"59,618","4,022,233",0.01%
Turkiye Petrol Rafinerileri AS,TUPRS TI,"139,549","904,474",0.00%
Turk Hava Yollari AO,THYAO TI,"71,661","919,763",0.00%
Turkcell Iletisim Hizmetleri AS,TCELL TI,"55,837","236,676",0.00%
Turkiye Is Bankasi AS,ISCTR TI,"280,537","173,498",0.00%
Twilio Inc,TWLO US,"31,534","5,504,611",0.01%
TXNM Energy Inc,TXNM US,"1,069","84,917",0.00%
Tyler Technologies Inc,TYL US,"1,821","1,696,325",0.00%
Tyro Payments Ltd,TYR AU,"5,698,397","4,644,193",0.01%
Tyson Foods Inc,TSN US,"170,068","15,777,601",0.04%
Uber Technologies Inc,UBER US,"414,645","40,396,283",0.10%
UBS Group AG,UBSG SW,"875,553","43,270,167",0.10%
UCB SA,UCB BB,"2,318","745,111",0.00%
Ulta Beauty Inc,ULTA US,"4,682","3,288,935",0.01%
UniCredit SpA,UCG IM,"139,461","8,985,641",0.02%
Unilever PLC,UL US,"33,540","3,071,486",0.01%
Unilever PLC,ULVR LN,"299,501","27,552,816",0.07%
Unilever PLC,UNAA I2,"97,236","8,924,720",0.02%
Unimicron Technology Corp,3037 TT,"27,793","193,056",0.00%
Union Pacific Corp,UNP US,"18,157","6,687,575",0.02%
Unipol Assicurazioni SpA,UNI IM,"51,935","1,044,922",0.00%
United Microelectronics Corp,2303 TT,"199,703","423,538",0.00%
United Overseas Bank Ltd,UOB SP,"28,516","1,226,535",0.00%
United Parcel Service Inc,UPS US,"2,623","534,167",0.00%
United Rentals Inc,URI US,"2,898","3,296,819",0.01%
United Therapeutics Corp,UTHR US,"38,411","21,889,361",0.05%
United Utilities Group PLC,UU/ LN,"7,832","166,580",0.00%
UnitedHealth Group Inc,UNH US,"71,982","58,810,947",0.14%
Universal Health Services Inc,UHS US,"1,701","492,783",0.00%
Varun Beverages Ltd,VBL IN,"794,725","32,856,378",0.08%
Universal Robina Corp,URC PM,"804,572","1,774,723",0.00%
Universal Store Holdings Ltd,UNI AU,"972,296","8,342,299",0.02%
Unum Group,UNM US,"5,283","623,168",0.00%
US Bancorp,USB US,"38,726","2,991,643",0.01%
US Foods Holding Corp,USFD US,"104,207","11,353,994",0.03%
Vale SA,VALE US,"122,530","1,755,382",0.00%
Vale SA,VALE3 BZ,"48,243","688,007",0.00%
Valeo SE,FR FP,"2,006","31,241",0.00%
Valero Energy Corp,VLO US,"9,087","1,799,177",0.00%
Valvoline Inc,VVV US,"135,907","7,941,746",0.02%
Varun Beverages Ltd,VBL IN,"338,665","4,079,364",0.01%
Vault Minerals Ltd,VAU AU,"9,289,851","3,065,651",0.01%
Vector Ltd,VCT NZ,"3,322","11,723",0.00%
Vedanta Ltd,VEDL IN,"191,085","1,602,179",0.00%
Veeva Systems Inc,VEEV US,"15,264","5,183,182",0.01%
Ventia Services Group Pty Ltd,VNT AU,"2,016,789","7,260,442",0.02%
Veralto Corp,VLTO US,"6,513","1,071,324",0.00%
Verbund AG,VER AV,"10,168","1,190,440",0.00%
VeriSign Inc,VRSN US,"96,765","32,345,046",0.08%
Verisk Analytics Inc,VRSK US,"4,107","1,826,986",0.00%
Verizon Communications Inc,VZ US,"252,367","16,300,005",0.04%
Vertex Pharmaceuticals Inc,VRTX US,"21,546","14,013,472",0.03%
Vertiv Holdings Co,VRT US,"31,149","5,715,631",0.01%
Viatris Inc,VTRS US,"103,436","2,079,912",0.00%
Vibra Energia SA,VBBR3 BZ,"152,731","712,342",0.00%
Vinci SA,DG FP,"7,867","1,312,252",0.00%
Vipshop Holdings Ltd,VIPS US,"38,495","837,473",0.00%
Visa Inc,V US,"277,487","141,640,807",0.33%
Vista Energy SAB de CV,VIST US,"14,046","1,227,522",0.00%
Vistra Corp,VST US,"8,828","1,965,835",0.00%
Viva Energy Group Ltd,VEA AU,"15,299,110","40,236,661",0.09%
Vodacom Group Ltd,VOD SJ,745,"6,461",0.00%
Vodafone Group PLC,VOD LN,"1,743,269","2,408,421",0.01%
Volkswagen AG,VOW3 GR,"17,944","2,672,074",0.01%
Voltronic Power Technology Corp,6409 TT,"177,530","16,267,472",0.04%
Volvo AB,VOLVB SS,"443,010","17,393,649",0.04%
Voya Financial Inc,VOYA US,"49,160","5,464,994",0.01%
Vulcan Energy Resources Ltd,VUL AU,"29,110","155,740",0.00%
Vulcan Steel Ltd,VSL AU,"556,692","3,757,670",0.01%
W R Berkley Corp,WRB US,"24,921","2,355,466",0.01%
WA1 Resources Ltd,WA1 AU,"12,759","169,051",0.00%
Wal-Mart de Mexico SAB de CV,WALMEX* MM,"1,148,647","4,897,471",0.01%
Walmart Inc,WMT US,"119,028","17,369,261",0.04%
Wartsila OYJ Abp,WRT1V FH,"112,433","3,217,341",0.01%
Washington H Soul Pattinson & Co Ltd,SOL AU,"42,040","1,438,600",0.00%
Waste Connections Inc,WCN CN,"2,002","554,503",0.00%
Waste Connections Inc,WCN US,"8,432","2,336,626",0.01%
Waste Management Inc,WM US,"23,829","7,766,153",0.02%
Waters Corp,WAT US,"1,253","750,921",0.00%
Webjet Ltd,WEB AU,"3,604,032","16,542,506",0.04%
Webjet Group Ltd,WJL AU,"4,370,769","3,802,569",0.01%
WEC Energy Group Inc,WEC US,"3,701","562,055",0.00%
Weebit Nano Ltd,WBT AU,"29,931","107,751",0.00%
WEG SA,WEGE3 BZ,"349,840","4,826,405",0.01%
Wells Fargo & Co,WFC US,"368,719","41,829,643",0.10%
Wesfarmers Ltd,WES AU,"2,363,285","169,045,754",0.40%
West African Resources Ltd,WAF AU,"254,668","365,448",0.00%
Westgold Resources Ltd,WGX AU,"1,992,705","5,639,355",0.01%
Westinghouse Air Brake Technologies Corp,WAB US,"19,454","5,956,960",0.01%
Westpac Banking Corp,WBC AU,489,"51,660",0.00%
Westpac Banking Corp,WBC AU,"7,470,039","241,431,659",0.57%
WH Group Ltd,288 HK,"2,690,790","3,362,420",0.01%
Wheaton Precious Metals Corp,WPM CN,"16,414","1,491,418",0.00%
Wildcat Resources Ltd,WC8 AU,"313,268","86,149",0.00%
Williams Cos Inc/The,WMB US,"14,110","1,233,339",0.00%
Williams-Sonoma Inc,WSM US,"1,976","590,994",0.00%
Willis Towers Watson PLC,WTW US,"1,678","849,030",0.00%
Wipro Ltd,WPRO IN,"198,247","1,128,907",0.00%
Wise PLC,WISE LN,"144,609","3,118,162",0.01%
WiseTech Global Ltd,WTC AU,"689,673","83,491,771",0.20%
Wistron Corp,3231 TT,"56,966","291,868",0.00%
Wiwynn Corp,6669 TT,"1,426","184,019",0.00%
Wix.com Ltd,WIX US,"4,311","1,493,847",0.00%
Wolters Kluwer NV,WKL NA,"125,338","33,623,437",0.08%
Woodside Energy Group Ltd,WDS AU,"3,903,593","96,028,396",0.23%
Woolworths Group Ltd,WOW AU,"1,940,444","59,164,133",0.14%
Woori Financial Group Inc,316140 KS,"46,289","780,553",0.00%
Workday Inc,WDAY US,"66,856","27,862,281",0.07%
Worldline SA/France,WLN FP,"168,240","2,385,492",0.01%
Worley Ltd,WOR AU,"2,993,472","41,010,560",0.10%
WSP Global Inc,WSP CN,179,"50,847",0.00%
WW Grainger Inc,GWW US,"4,602","7,834,416",0.02%
Xcel Energy Inc,XEL US,"24,668","2,690,068",0.01%
Xero Ltd,XRO AU,"973,019","164,012,023",0.39%
Xiaomi Corp,1810 HK,"1,402,954","10,063,760",0.02%
XPEL Inc,XPEL US,"39,196","2,528,435",0.01%
Xylem Inc/NY,XYL US,"36,989","6,931,195",0.02%
Yakult Honsha Co Ltd,2267 JP,"16,944","520,143",0.00%
Yamada Holdings Co Ltd,9831 JP,"237,872","1,107,644",0.00%
Yamaha Motor Co Ltd,7272 JP,"33,410","482,235",0.00%
Yang Ming Marine Transport Corp,2609 TT,"132,408","493,793",0.00%
Yangzijiang Shipbuilding Holdings Ltd,YZJSGD SP,"363,275","1,285,975",0.00%
Yantai Jereh Oilfield Services Group Co Ltd,002353 C2,"2,848","23,309",0.00%
Yapi ve Kredi Bankasi AS,YKBNK TI,"17,734","24,803",0.00%
Yaskawa Electric Corp,6506 JP,"7,929","331,405",0.00%
YETI Holdings Inc,YETI US,"46,770","2,909,009",0.01%
Yifeng Pharmacy Chain Co Ltd,603939 C1,"1,238,432","6,612,342",0.02%
Yokogawa Electric Corp,6841 JP,"167,367","5,844,598",0.01%
Yuanta Financial Holding Co Ltd,2885 TT,"15,512","25,982",0.00%
Yum! Brands Inc,YUM US,"8,587","1,860,558",0.00%
Zalando SE,ZAL GR,"19,794","1,072,268",0.00%
Zebra Technologies Corp,ZBRA US,83,"52,009",0.00%
Zhongji Innolight Co Ltd,300308 C2,"10,392","284,019",0.00%
Zhongsheng Group Holdings Ltd,881 HK,"37,721","109,488",0.00%
Zijin Mining Group Co Ltd,2899 HK,"1,444,306","4,246,259",0.01%
Zimmer Biomet Holdings Inc,ZBH US,"3,483","594,286",0.00%
Zip Co Ltd,ZIP AU,"4,329,723","12,815,980",0.03%
Zoetis Inc,ZTS US,"79,817","21,004,016",0.05%
Zomato Ltd,ZOMATO IN,"61,338","321,746",0.00%
Zoom Video Communications Inc,ZM US,"62,946","8,296,917",0.02%
ZOZO Inc,3092 JP,"2,079","104,602",0.00%
Zscaler Inc,ZS US,"3,074","895,673",0.00%
ZTE Corp,000063 C2,"9,546","85,332",0.00%
ZTE Corp,763 HK,"117,320","593,973",0.00%
Zurich Insurance Group AG,ZURN SW,"2,711","2,603,505",0.01%
Zydus Lifesciences Ltd,ZYDUSLIF IN,"34,384","630,297",0.00%
Total,,,"20,656,832,970",48.73%
,,,,
"Unlisted Equity
Held directly or by associated entities or by PSTs
Internally managed",,,,
Name/kind of investment item ,,% Ownership,Value (AUD) ,Weighting (%)
Industry Super Holdings Pty Ltd,,3.59%,"Values and weighting for individual assets not disclosed, see totals below",
Total,,,"156,157,014",0.37%
,,,,
"Unlisted Equity Investment in non-associated entities;
Held directly or by associated entities or by PSTs
Externally managed",,,,
Name of Fund Manager,,,Value (AUD) ,Weighting (%)
"Adams Street Partners, LLC",,,"407,367,121",0.96%
Avenue Capital Group,,,"14,887,150",0.04%
Blackbird Ventures Pty Ltd,,,"36,206,659",0.09%
Carnegie Venture Capital Pty Limited,,,"254,771",0.00%
"HarbourVest Partners, LLC",,,"283,132,269",0.67%
IFM Investors Pty Ltd,,,"5,583,923",0.01%
Intermediate Capital Group,,,"4,697,318",0.01%
Lennox Capital Partners Pty Ltd,,,"2,281,467",0.01%
Lexington Partners,,,"20,381,030",0.05%
LGT Capital Partners Limited,,,"191,675,133",0.45%
Partners Group Holding AG,,,"312,472,712",0.74%
Roc Capital Pty Limited,,,"312,301,834",0.74%
"Siguler Guff Advisers, LLC",,,"289,341,158",0.68%
Square Peg Capital Pty Ltd,,,"26,589,570",0.06%
Stafford Capital Partners Limited,,,"10,327,263",0.02%
State Street Bank and Trust Company,,,"2,177",0.00%
StepStone Group Holdings LLC,,,"258,531,900",0.61%
"Wilshire Associates, Inc",,,"1,857,940",0.00%
Total,,,"2,177,891,396",5.14%
,,,,
Listed Property,,,,
Name/kind of investment item ,Security Identifier,Units held ,Value (AUD) ,Weighting (%)
Abacus Group,ABG AU,"72,525","79,778",0.00%
Abacus Storage King,ASK AU,"111,917","125,907",0.00%
Acadia Realty Trust,AKR US,"13,527","527,834",0.00%
Activia Properties Inc,3279 JP,97,"328,850",0.00%
Advance Residence Investment Corp,3269 JP,173,"520,888",0.00%
Aedifica SA,AED BB,"6,515","612,349",0.00%
Aeon Mall Co Ltd,8905 JP,"20,246","423,416",0.00%
AEON REIT Investment Corp,3292 JP,251,"326,575",0.00%
Agree Realty Corp,ADC US,"13,144","1,495,602",0.00%
Aldar Properties PJSC,ALDAR UH,"1,845,913","6,233,754",0.01%
Alexander & Baldwin Inc,ALEX US,"9,518","272,726",0.00%
Alexandria Real Estate Equities Inc,ARE US,"46,052","7,255,646",0.02%
Allied Properties Real Estate Investment Trust,AP-U CN,"17,864","344,059",0.00%
Allreal Holding AG,ALLN SW,"2,241","661,444",0.00%
American Assets Trust Inc,AAT US,"6,661","282,498",0.00%
American Homes 4 Rent,AMH US,"44,601","2,695,592",0.01%
American Tower Corp,AMT US,"5,413","1,603,471",0.00%
Americold Realty Trust Inc,COLD US,"37,455","1,294,576",0.00%
Amot Investments Ltd,AMOT IT,"29,909","273,642",0.00%
Annaly Capital Management Inc,NLY US,"38,545","1,139,248",0.00%
Apartment Investment and Management Co,AIV US,"19,269","282,902",0.00%
Apple Hospitality REIT Inc,APLE US,"29,977","743,184",0.00%
Arena REIT,ARF AU,"61,433","238,974",0.00%
ARGAN SA,ARG FP,"1,912","193,476",0.00%
Aroundtown SA,AT1 GR,"94,039","459,403",0.00%
Assura PLC,AGR LN,"461,450","357,869",0.00%
Atrium Ljungberg AB,ATRLJB SS,"7,257","210,259",0.00%
AvalonBay Communities Inc,AVB US,"38,516","13,683,815",0.03%
Azrieli Group Ltd,AZRG IT,"4,791","638,981",0.00%
Big Yellow Group PLC,BYG LN,"26,932","522,992",0.00%
Boardwalk Real Estate Investment Trust,BEI-U CN,"5,364","387,061",0.00%
British Land Co PLC/The,BLND LN,"122,669","894,265",0.00%
Brixmor Property Group Inc,BRX US,"39,419","1,772,483",0.00%
Broadstone Net Lease Inc,BNL US,"25,045","641,544",0.00%
BWP Trust,BWP AU,"84,700","277,816",0.00%
BXP Inc,BXP US,"20,763","2,493,607",0.01%
CA Immobilien Anlagen AG,CAI AV,"5,124","199,828",0.00%
Camden Property Trust,CPT US,"40,054","7,506,800",0.02%
Canadian Apartment Properties REIT,CAR-U CN,"21,685","1,038,170",0.00%
CapitaLand Ascendas REIT,CLAR SP,"481,370","1,464,665",0.00%
CapitaLand Ascott Trust,CLAS SP,"368,928","380,003",0.00%
CapitaLand Integrated Commercial Trust,CICT SP,"678,183","1,549,638",0.00%
CapitaLand Investment Ltd/Singapore,CLI SP,"339,245","1,052,302",0.00%
CareTrust REIT Inc,CTRE US,"17,708","773,633",0.00%
Carmila SA,CARM FP,"8,230","220,502",0.00%
Castellum AB,CAST SS,"57,519","1,013,561",0.00%
Catena AB,CATE SS,"5,099","352,549",0.00%
CBRE Group Inc,CBRE US,"47,155","9,999,193",0.02%
CDL Hospitality Trusts,CDREIT SP,"152,403","155,174",0.00%
Centerspace,CSR US,"2,077","221,911",0.00%
Centuria Capital Group,CNI AU,"165,026","292,921",0.00%
Centuria Industrial REIT,CIP AU,"82,085","231,480",0.00%
Centuria Office REIT,COF AU,"68,663","75,530",0.00%
Charter Hall Group,CHC AU,"2,920,162","41,904,321",0.10%
Charter Hall Long Wale REIT,CLW AU,"110,019","411,469",0.00%
Charter Hall Retail REIT,CQR AU,"2,172,085","6,842,067",0.02%
Charter Hall Social Infrastructure REIT,CQE AU,"57,937","148,898",0.00%
Chartwell Retirement Residences,CSH-U CN,"32,940","557,834",0.00%
China Overseas Land & Investment Ltd,688 HK,"5,234,731","13,496,268",0.03%
Choice Properties Real Estate Investment Trust,CHP-U CN,"35,360","530,130",0.00%
Cofinimmo SA,COFB BB,"5,370","499,327",0.00%
Comforia Residential REIT Inc,3282 JP,97,"278,196",0.00%
COPT Defense Properties,CDP US,"15,036","751,594",0.00%
CoStar Group Inc,CSGP US,"3,941","455,734",0.00%
Country Garden Services Holdings Co Ltd,6098 HK,"3,066,262","3,519,217",0.01%
Cousins Properties Inc,CUZ US,"20,115","995,416",0.00%
Covivio SA/France,COV FP,"8,139","663,755",0.00%
Crombie Real Estate Investment Trust,CRR-U CN,"15,074","223,621",0.00%
Cromwell Property Group,CMW AU,"243,657","92,590",0.00%
Crown Castle Inc,CCI US,"5,366","786,556",0.00%
CubeSmart,CUBE US,"29,251","2,024,406",0.00%
Curbline Properties Corp,CURB US,"12,314","461,820",0.00%
Daito Trust Construction Co Ltd,1878 JP,"10,543","1,904,166",0.00%
Daiwa House Industry Co Ltd,1925 JP,194,"9,680",0.00%
Daiwa House REIT Investment Corp,8984 JP,298,"710,757",0.00%
Daiwa Office Investment Corp,8976 JP,77,"223,939",0.00%
Daiwa Securities Living Investments Corp,8986 JP,272,"248,622",0.00%
Derwent London PLC,DLN LN,"15,452","612,303",0.00%
Deutsche Wohnen SE,DWNI GR,"7,466","287,815",0.00%
Dexus,DXS AU,"5,441,399","36,239,717",0.09%
Dexus Industria REIT,DXI AU,"28,405","73,000",0.00%
DiamondRock Hospitality Co,DRH US,"27,869","406,456",0.00%
DigiCo Infrastructure REIT,DGT AU,"733,222","3,262,837",0.01%
Digital Realty Trust Inc,DLR US,"57,103","16,354,699",0.04%
Dios Fastigheter AB,DIOS SS,"15,003","173,694",0.00%
Douglas Emmett Inc,DEI US,"21,917","656,999",0.00%
Dream Industrial Real Estate Investment Trust,DIR-U CN,"35,007","464,297",0.00%
Easterly Government Properties Inc,DEA US,"13,653","250,495",0.00%
EastGroup Properties Inc,EGP US,"6,194","1,605,428",0.00%
Elme Communities,ELME US,"12,006","296,099",0.00%
Emaar Properties PJSC,EMAAR UH,"959,177","5,419,752",0.01%
Empire State Realty Trust Inc,ESRT US,"18,282","304,729",0.00%
Empiric Student Property PLC,ESP LN,"113,960","192,479",0.00%
Entra ASA,ENTRA NO,"11,043","181,532",0.00%
EPR Properties,EPR US,"9,907","708,549",0.00%
Equinix Inc,EQIX US,"23,532","35,836,735",0.08%
Equity LifeStyle Properties Inc,ELS US,"24,233","2,606,711",0.01%
Equity Residential,EQR US,"107,806","12,494,770",0.03%
ESR-REIT,EREIT SP,"899,770","271,642",0.00%
Essential Properties Realty Trust Inc,EPRT US,"22,735","1,148,615",0.00%
Essex Property Trust Inc,ESS US,"21,241","9,792,323",0.02%
Eurocommercial Properties NV,ECMPA NA,"7,753","287,852",0.00%
Extra Space Storage Inc,EXR US,"35,580","8,596,792",0.02%
Fabege AB,FABG SS,"35,642","431,381",0.00%
Fastighets AB Balder,BALDB SS,"83,531","937,736",0.00%
Federal Realty Investment Trust,FRT US,"10,810","1,954,604",0.00%
Fibra Uno Administracion SA de CV,FUNO11 MM,"316,817","509,907",0.00%
First Capital Real Estate Investment Trust,FCR-U CN,"27,539","524,520",0.00%
First Industrial Realty Trust Inc,FR US,"17,243","1,396,091",0.00%
FirstService Corp,FSV CN,"15,840","4,631,861",0.01%
Fortune Real Estate Investment Trust,778 HK,"250,810","208,072",0.00%
Four Corners Property Trust Inc,FCPT US,"12,029","527,278",0.00%
Frasers Centrepoint Trust,FCT SP,"163,371","408,117",0.00%
Frasers Logistics & Commercial Trust,FLT SP,"417,172","434,634",0.00%
Frontier Real Estate Investment Corp,8964 JP,384,"306,231",0.00%
Fukuoka REIT Corp,8968 JP,133,"198,873",0.00%
Gaming and Leisure Properties Inc,GLPI US,"64,023","4,979,943",0.01%
Gecina SA,GFC FP,"6,960","1,052,829",0.00%
Getty Realty Corp,GTY US,"6,628","322,562",0.00%
Global Net Lease Inc,GNL US,"27,522","324,489",0.00%
Global One Real Estate Investment Corp,8958 JP,200,"203,673",0.00%
GLP J-Reit,3281 JP,618,"783,986",0.00%
Goodman Group,GMG AU,"4,952,541","176,508,564",0.42%
Goodman Property Trust,GMT NZ,"165,853","301,651",0.00%
GPT Group/The,GPT AU,"2,528,853","11,051,088",0.03%
Grand City Properties SA,GYC GR,"14,605","287,013",0.00%
Granite Real Estate Investment Trust,GRT-U CN,"8,166","639,757",0.00%
Great Portland Estates PLC,GPE LN,"56,562","329,505",0.00%
Growthpoint Properties Australia Ltd,GOZ AU,"54,054","128,649",0.00%
H&R Real Estate Investment Trust,HR-U CN,"34,629","360,884",0.00%
Hammerson PLC,HMSO LN,"61,400","347,258",0.00%
Healthcare Realty Trust Inc,HR US,"50,890","1,393,171",0.00%
HealthCo REIT,HCW AU,"80,375","81,982",0.00%
Healthpeak Properties Inc,DOC US,"158,370","5,184,798",0.01%
Heiwa Real Estate REIT Inc,8966 JP,160,"197,073",0.00%
Highwoods Properties Inc,HIW US,"14,014","692,150",0.00%
HMC Capital Ltd,HMC AU,"1,073,976","10,589,405",0.02%
HomeCo Daily Needs REIT,HDN AU,"276,564","316,666",0.00%
Hongkong Land Holdings Ltd,HKL SP,"149,795","1,076,620",0.00%
Hoshino Resorts REIT Inc,3287 JP,77,"177,854",0.00%
Host Hotels & Resorts Inc,HST US,"159,593","4,515,987",0.01%
Hotel Property Investments Ltd,HPI AU,"21,698","81,369",0.00%
Hufvudstaden AB,HUFVA SS,"16,993","300,804",0.00%
Hulic Reit Inc,3295 JP,197,"278,139",0.00%
Hysan Development Co Ltd,14 HK,"97,409","239,800",0.00%
ICADE,ICAD FP,"5,262","202,220",0.00%
Independence Realty Trust Inc,IRT US,"29,575","947,693",0.00%
Industrial & Infrastructure Fund Investment Corp,3249 JP,315,"372,238",0.00%
Ingenia Communities Group,INA AU,"568,420","2,603,363",0.01%
Inmobiliaria Colonial Socimi SA,COL SM,"42,508","367,905",0.00%
Innovative Industrial Properties Inc,IIPR US,"3,654","393,285",0.00%
InterRent Real Estate Investment Trust,IIP-U CN,"17,442","198,818",0.00%
InvenTrust Properties Corp,IVT US,"9,063","441,032",0.00%
Invincible Investment Corp,8963 JP,918,"624,612",0.00%
Invitation Homes Inc,INVH US,"79,889","4,125,071",0.01%
Iron Mountain Inc,IRM US,"38,177","6,481,073",0.02%
Japan Excellent Inc,8987 JP,189,"225,320",0.00%
Japan Hotel REIT Investment Corp,8985 JP,636,"461,336",0.00%
Japan Logistics Fund Inc,8967 JP,120,"323,645",0.00%
Japan Metropolitan Fund Invest,8953 JP,927,"859,590",0.00%
Japan Prime Realty Investment Corp,8955 JP,125,"405,364",0.00%
Japan Real Estate Investment Corp,8952 JP,867,"961,077",0.00%
JBG SMITH Properties,JBGS US,"12,167","302,037",0.00%
KDX Realty Investment Corp,8972 JP,542,"831,963",0.00%
KE Holdings Inc,BEKE US,"361,139","10,744,063",0.03%
Kennedy-Wilson Holdings Inc,KW US,"16,304","263,068",0.00%
Keppel DC REIT,KDCREIT SP,"178,098","459,665",0.00%
Keppel REIT,KREIT SP,"377,748","389,088",0.00%
Killam Apartment Real Estate Investment Trust,KMP-U CN,"15,625","300,062",0.00%
Kilroy Realty Corp,KRC US,"15,696","1,025,438",0.00%
Kimco Realty Corp,KIM US,"162,900","6,164,489",0.01%
Kite Realty Group Trust,KRG US,"28,542","1,163,517",0.00%
Kiwi Property Group Ltd,KPG NZ,"301,238","245,323",0.00%
Klepierre SA,LI FP,"83,692","3,891,174",0.01%
Kojamo Oyj,KOJAMO FH,"22,475","352,950",0.00%
Land Securities Group PLC,LAND LN,"90,347","1,067,274",0.00%
LaSalle Logiport REIT,3466 JP,257,"375,230",0.00%
LEG Immobilien SE,LEG GR,"9,917","1,356,771",0.00%
Lendlease Corp Ltd,LLC AU,"3,312,434","20,636,462",0.05%
Lendlease Global Commercial REIT,LREIT SP,"300,204","195,482",0.00%
